classification,type,bracket,units,employees,salaried,wages.thousand,avg.min.wages
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,20 a 29,208,4944,4603,103509,"2,1"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,30 a 49,154,5763,5505,111671,2
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,50 a 99,103,7168,7008,144114,"2,2"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,100 a 249,35,4846,4766,75854,"1,8"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,250 a 499,13,4361,4338,71073,"2,1"
01.6 Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,c,500 ou mais,4,3810,3807,68716,"1,7"
01.7 Caça e serviços relacionados,c,Total,-,-,-,-,-
01.7 Caça e serviços relacionados,c,0 a 4,-,-,-,-,-
01.7 Caça e serviços relacionados,c,5 a 9,-,-,-,-,-
01.7 Caça e serviços relacionados,c,10 a 19,-,-,-,-,-
01.7 Caça e serviços relacionados,c,20 a 29,-,-,-,-,-
01.7 Caça e serviços relacionados,c,30 a 49,-,-,-,-,-
01.7 Caça e serviços relacionados,c,50 a 99,-,-,-,-,-
01.7 Caça e serviços relacionados,c,100 a 249,-,-,-,-,-
01.7 Caça e serviços relacionados,c,250 a 499,-,-,-,-,-
01.7 Caça e serviços relacionados,c,500 ou mais,-,-,-,-,-
02.1 Produção florestal - florestas plantadas,c,Total,5605,60479,52116,1284816,"2,3"
02.1 Produção florestal - florestas plantadas,c,0 a 4,3886,6417,1880,39239,"1,3"
02.1 Produção florestal - florestas plantadas,c,5 a 9,832,5419,3886,63266,"1,4"
02.1 Produção florestal - florestas plantadas,c,10 a 19,477,6402,5219,87158,"1,6"
02.1 Produção florestal - florestas plantadas,c,20 a 29,146,3529,3170,56618,"1,7"
02.1 Produção florestal - florestas plantadas,c,30 a 49,109,4118,3858,74038,"1,7"
02.1 Produção florestal - florestas plantadas,c,50 a 99,76,5309,5099,111233,2
02.1 Produção florestal - florestas plantadas,c,100 a 249,49,7622,7434,166158,"2,1"
02.1 Produção florestal - florestas plantadas,c,250 a 499,17,5791,5718,149941,"2,5"
02.1 Produção florestal - florestas plantadas,c,500 ou mais,13,15872,15852,537165,"3,4"
02.2 Produção florestal - florestas nativas,c,Total,880,6727,5546,109323,"1,7"
02.2 Produção florestal - florestas nativas,c,0 a 4,611,1029,345,10141,"1,3"
02.2 Produção florestal - florestas nativas,c,5 a 9,130,825,625,10414,"1,5"
02.2 Produção florestal - florestas nativas,c,10 a 19,72,961,802,13781,"1,4"
02.2 Produção florestal - florestas nativas,c,20 a 29,28,X,X,X,X
02.2 Produção florestal - florestas nativas,c,30 a 49,23,884,832,19777,"1,9"
02.2 Produção florestal - florestas nativas,c,50 a 99,8,X,X,X,X
02.2 Produção florestal - florestas nativas,c,100 a 249,6,X,X,X,X
02.2 Produção florestal - florestas nativas,c,250 a 499,2,X,X,X,X
02.2 Produção florestal - florestas nativas,c,500 ou mais,-,-,-,-,-
02.3 Atividades de apoio à produção florestal,c,Total,1577,25388,23178,506010,2
02.3 Atividades de apoio à produção florestal,c,0 a 4,1039,1788,539,16465,"1,4"
02.3 Atividades de apoio à produção florestal,c,5 a 9,221,1461,1068,22050,"1,7"
02.3 Atividades de apoio à produção florestal,c,10 a 19,143,1966,1722,35139,"1,8"
02.3 Atividades de apoio à produção florestal,c,20 a 29,56,X,X,X,X
02.3 Atividades de apoio à produção florestal,c,30 a 49,57,2119,2015,55433,"2,2"
02.3 Atividades de apoio à produção florestal,c,50 a 99,20,X,X,X,X
02.3 Atividades de apoio à produção florestal,c,100 a 249,24,3739,3705,89026,"2,4"
02.3 Atividades de apoio à produção florestal,c,250 a 499,10,3271,3248,65476,"1,9"
02.3 Atividades de apoio à produção florestal,c,500 ou mais,7,X,X,X,X
03.1 Pesca,c,Total,1788,4376,2383,59846,"2,2"
03.1 Pesca,c,0 a 4,1665,1835,177,4676,"1,7"
03.1 Pesca,c,5 a 9,50,315,201,4072,"1,7"
03.1 Pesca,c,10 a 19,40,504,352,8001,"1,9"
03.1 Pesca,c,20 a 29,10,X,X,X,X
03.1 Pesca,c,30 a 49,14,525,495,12672,"2,4"
03.1 Pesca,c,50 a 99,5,305,295,4819,"1,6"
03.1 Pesca,c,100 a 249,3,X,X,X,X
03.1 Pesca,c,250 a 499,1,X,X,X,X
03.1 Pesca,c,500 ou mais,-,-,-,-,-
03.2 Aquicultura,c,Total,1490,11197,8838,139066,"1,5"
03.2 Aquicultura,c,0 a 4,1023,1772,578,9389,"1,3"
03.2 Aquicultura,c,5 a 9,242,1581,1103,15092,"1,3"
03.2 Aquicultura,c,10 a 19,139,1804,1383,21065,"1,5"
03.2 Aquicultura,c,20 a 29,33,X,X,X,X
03.2 Aquicultura,c,30 a 49,20,715,653,10585,"1,6"
03.2 Aquicultura,c,50 a 99,21,1613,1535,26092,"1,6"
03.2 Aquicultura,c,100 a 249,9,X,X,X,X
03.2 Aquicultura,c,250 a 499,1,X,X,X,X
03.2 Aquicultura,c,500 ou mais,2,X,X,X,X
05.0 Extração de carvão mineral,c,Total,60,4834,4751,275290,"5,8"
05.0 Extração de carvão mineral,c,0 a 4,44,68,22,444,"1,9"
05.0 Extração de carvão mineral,c,5 a 9,2,X,X,X,X
05.0 Extração de carvão mineral,c,10 a 19,3,36,16,776,"3,7"
05.0 Extração de carvão mineral,c,20 a 29,2,X,X,X,X
05.0 Extração de carvão mineral,c,30 a 49,1,X,X,X,X
05.0 Extração de carvão mineral,c,50 a 99,-,-,-,-,-
05.0 Extração de carvão mineral,c,100 a 249,-,-,-,-,-
05.0 Extração de carvão mineral,c,250 a 499,2,X,X,X,X
05.0 Extração de carvão mineral,c,500 ou mais,6,X,X,X,X
06.0 Extração de petróleo e gás natural,c,Total,152,3774,3599,953430,"24,8"
06.0 Extração de petróleo e gás natural,c,0 a 4,110,150,42,9124,"21,3"
06.0 Extração de petróleo e gás natural,c,5 a 9,9,X,X,X,X
06.0 Extração de petróleo e gás natural,c,10 a 19,8,128,103,26881,"22,3"
06.0 Extração de petróleo e gás natural,c,20 a 29,4,X,X,X,X
06.0 Extração de petróleo e gás natural,c,30 a 49,6,X,X,X,X
06.0 Extração de petróleo e gás natural,c,50 a 99,5,341,333,60137,"17,7"
06.0 Extração de petróleo e gás natural,c,100 a 249,7,1277,1272,437016,"31,8"
06.0 Extração de petróleo e gás natural,c,250 a 499,2,X,X,X,X
06.0 Extração de petróleo e gás natural,c,500 ou mais,1,X,X,X,X
07.1 Extração de minério de ferro,c,Total,194,68888,68568,3187171,"4,7"
07.1 Extração de minério de ferro,c,0 a 4,116,199,32,2732,"2,9"
07.1 Extração de minério de ferro,c,5 a 9,21,X,X,X,X
07.1 Extração de minério de ferro,c,10 a 19,9,123,102,2534,"2,4"
07.1 Extração de minério de ferro,c,20 a 29,5,X,X,X,X
07.1 Extração de minério de ferro,c,30 a 49,10,397,386,22040,"4,9"
07.1 Extração de minério de ferro,c,50 a 99,11,763,740,36980,"4,7"
07.1 Extração de minério de ferro,c,100 a 249,10,1518,1502,84427,"5,1"
07.1 Extração de minério de ferro,c,250 a 499,4,X,X,X,X
07.1 Extração de minério de ferro,c,500 ou mais,8,64145,64135,2943323,"4,7"
07.2 Extração de minerais metálicos não-ferrosos,c,Total,518,16285,15451,890489,"5,8"
07.2 Extração de minerais metálicos não-ferrosos,c,0 a 4,339,549,136,8702,"3,1"
07.2 Extração de minerais metálicos não-ferrosos,c,5 a 9,59,X,X,X,X
07.2 Extração de minerais metálicos não-ferrosos,c,10 a 19,42,577,448,13270,"2,7"
07.2 Extração de minerais metálicos não-ferrosos,c,20 a 29,25,X,X,X,X
07.2 Extração de minerais metálicos não-ferrosos,c,30 a 49,15,574,544,17542,"3,5"
07.2 Extração de minerais metálicos não-ferrosos,c,50 a 99,15,1095,1059,25517,"2,5"
07.2 Extração de minerais metálicos não-ferrosos,c,100 a 249,11,1836,1817,83170,"4,6"
07.2 Extração de minerais metálicos não-ferrosos,c,250 a 499,4,X,X,X,X
07.2 Extração de minerais metálicos não-ferrosos,c,500 ou mais,8,9289,9280,628918,"6,9"
"08.1 Extração de pedra, areia e argila",c,Total,8019,80083,66966,1804448,"2,5"
"08.1 Extração de pedra, areia e argila",c,0 a 4,4720,9018,2786,63126,"1,6"
"08.1 Extração de pedra, areia e argila",c,5 a 9,1374,9042,6359,122996,"1,8"
"08.1 Extração de pedra, areia e argila",c,10 a 19,977,13060,10757,234664,2
"08.1 Extração de pedra, areia e argila",c,20 a 29,389,9251,8346,206896,"2,3"
"08.1 Extração de pedra, areia e argila",c,30 a 49,275,10450,9962,270358,"2,5"
"08.1 Extração de pedra, areia e argila",c,50 a 99,202,13732,13390,399619,"2,8"
"08.1 Extração de pedra, areia e argila",c,100 a 249,66,9159,9008,267179,"2,9"
"08.1 Extração de pedra, areia e argila",c,250 a 499,14,X,X,X,X
"08.1 Extração de pedra, areia e argila",c,500 ou mais,2,X,X,X,X
08.9 Extração de outros minerais não-metálicos,c,Total,1096,17631,15737,457773,"2,8"
08.9 Extração de outros minerais não-metálicos,c,0 a 4,647,1119,269,6254,"1,6"
08.9 Extração de outros minerais não-metálicos,c,5 a 9,175,1170,759,13584,"1,6"
08.9 Extração de outros minerais não-metálicos,c,10 a 19,106,1392,1110,20830,"1,7"
08.9 Extração de outros minerais não-metálicos,c,20 a 29,53,1274,1153,27061,"2,2"
08.9 Extração de outros minerais não-metálicos,c,30 a 49,46,1822,1723,46929,"2,5"
08.9 Extração de outros minerais não-metálicos,c,50 a 99,40,2771,2693,67304,"2,4"
08.9 Extração de outros minerais não-metálicos,c,100 a 249,20,3082,3047,101641,"3,3"
08.9 Extração de outros minerais não-metálicos,c,250 a 499,3,X,X,X,X
08.9 Extração de outros minerais não-metálicos,c,500 ou mais,6,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,Total,203,33957,33757,4430232,"11,8"
09.1 Atividades de apoio à extração de petróleo e gás natural,c,0 a 4,95,145,35,34904,"19,9"
09.1 Atividades de apoio à extração de petróleo e gás natural,c,5 a 9,15,108,91,16622,"8,5"
09.1 Atividades de apoio à extração de petróleo e gás natural,c,10 a 19,11,149,139,15797,"9,4"
09.1 Atividades de apoio à extração de petróleo e gás natural,c,20 a 29,3,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,30 a 49,8,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,50 a 99,13,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,100 a 249,28,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,250 a 499,12,X,X,X,X
09.1 Atividades de apoio à extração de petróleo e gás natural,c,500 ou mais,18,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,Total,242,3590,3239,93856,"2,6"
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,0 a 4,191,339,93,4392,3
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,5 a 9,25,152,100,2119,2
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,10 a 19,15,189,151,3700,"2,4"
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,20 a 29,1,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,30 a 49,2,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,50 a 99,2,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,100 a 249,3,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,250 a 499,1,X,X,X,X
"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural",c,500 ou mais,2,X,X,X,X
10.1 Abate e fabricação de produtos de carne,c,Total,4318,563918,557545,13759723,"2,4"
10.1 Abate e fabricação de produtos de carne,c,0 a 4,1938,3758,1354,38213,"1,5"
10.1 Abate e fabricação de produtos de carne,c,5 a 9,718,4789,3604,58160,"1,5"
10.1 Abate e fabricação de produtos de carne,c,10 a 19,504,6809,5853,105797,"1,6"
10.1 Abate e fabricação de produtos de carne,c,20 a 29,264,6251,5779,99507,"1,6"
10.1 Abate e fabricação de produtos de carne,c,30 a 49,208,8037,7768,141634,"1,8"
10.1 Abate e fabricação de produtos de carne,c,50 a 99,264,18870,18470,348285,"1,8"
10.1 Abate e fabricação de produtos de carne,c,100 a 249,211,31258,30912,620687,2
10.1 Abate e fabricação de produtos de carne,c,250 a 499,81,28481,28352,603517,"1,9"
10.1 Abate e fabricação de produtos de carne,c,500 ou mais,130,455665,455453,11743923,"2,5"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,Total,477,15924,15207,326566,2
10.2 Preservação do pescado e fabricação de produtos do pescado,c,0 a 4,197,364,109,2585,"1,4"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,5 a 9,83,555,419,7229,"1,6"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,10 a 19,64,879,777,13150,"1,5"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,20 a 29,30,711,653,11987,"1,8"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,30 a 49,39,1498,1443,25024,"1,7"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,50 a 99,30,2143,2101,38826,"1,7"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,100 a 249,25,3940,3894,75837,"1,8"
10.2 Preservação do pescado e fabricação de produtos do pescado,c,250 a 499,6,2489,2475,53647,2
10.2 Preservação do pescado e fabricação de produtos do pescado,c,500 ou mais,3,3345,3336,98281,"2,8"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,Total,3008,106011,101300,2169342,"2,2"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,0 a 4,1649,3227,1079,18064,"1,3"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,5 a 9,475,3116,2289,37656,"1,4"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,10 a 19,391,5292,4358,68721,"1,5"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,20 a 29,159,3847,3556,61049,"1,6"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,30 a 49,121,4519,4341,82408,"1,7"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,50 a 99,90,6016,5889,115015,"1,9"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,100 a 249,72,11514,11415,266224,"2,4"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,250 a 499,23,7640,7591,205013,"2,7"
"10.3 Fabricação de conservas de frutas, legumes e outros vegetais",c,500 ou mais,28,60840,60782,1315191,"2,2"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,Total,370,52840,52257,2437113,"4,3"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,0 a 4,153,281,96,2242,"1,8"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,5 a 9,61,402,289,6267,"1,8"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,10 a 19,47,637,527,10665,"1,7"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,20 a 29,14,327,295,7144,"2,2"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,30 a 49,20,715,682,15070,"2,3"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,50 a 99,19,1474,1435,39523,"2,6"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,100 a 249,26,4255,4222,153140,"3,4"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,250 a 499,13,4855,4840,171392,"3,4"
10.4 Fabricação de óleos e gorduras vegetais e animais,c,500 ou mais,17,39894,39871,2031670,"4,7"
10.5 Laticínios,c,Total,6992,153259,142243,3717874,"2,6"
10.5 Laticínios,c,0 a 4,3676,7533,2944,48568,"1,3"
10.5 Laticínios,c,5 a 9,1388,9153,6883,95702,"1,4"
10.5 Laticínios,c,10 a 19,918,12232,9980,155116,"1,5"
10.5 Laticínios,c,20 a 29,357,8603,7869,132609,"1,6"
10.5 Laticínios,c,30 a 49,239,9109,8750,159924,"1,8"
10.5 Laticínios,c,50 a 99,204,13975,13626,301475,"2,2"
10.5 Laticínios,c,100 a 249,126,19862,19589,482863,"2,4"
10.5 Laticínios,c,250 a 499,45,15231,15105,378804,"2,4"
10.5 Laticínios,c,500 ou mais,39,57561,57497,1962813,"3,6"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,Total,4994,146015,137840,4492705,"3,2"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,0 a 4,2580,5096,1741,45745,"1,5"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,5 a 9,827,5492,4023,66598,"1,6"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,10 a 19,687,9377,7813,145897,"1,8"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,20 a 29,291,7021,6396,127314,"1,9"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,30 a 49,211,7975,7592,166550,"2,2"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,50 a 99,180,12466,12119,296374,"2,4"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,100 a 249,128,19695,19436,611716,"3,1"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,250 a 499,46,16037,15963,591761,"3,6"
"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais",c,500 ou mais,44,62856,62757,2440749,4
10.7 Fabricação e refino de açúcar,c,Total,284,268407,267846,7757628,"2,7"
10.7 Fabricação e refino de açúcar,c,0 a 4,96,176,73,2727,"0,9"
10.7 Fabricação e refino de açúcar,c,5 a 9,38,256,158,13632,"2,4"
10.7 Fabricação e refino de açúcar,c,10 a 19,23,301,207,3387,"1,5"
10.7 Fabricação e refino de açúcar,c,20 a 29,3,69,65,363,"0,6"
10.7 Fabricação e refino de açúcar,c,30 a 49,3,112,104,5350,"2,2"
10.7 Fabricação e refino de açúcar,c,50 a 99,6,459,437,9710,"1,8"
10.7 Fabricação e refino de açúcar,c,100 a 249,10,1790,1766,52504,"2,5"
10.7 Fabricação e refino de açúcar,c,250 a 499,18,6308,6270,216300,"3,1"
10.7 Fabricação e refino de açúcar,c,500 ou mais,87,258936,258766,7453656,"2,7"
10.8 Torrefação e moagem de café,c,Total,1600,24496,21923,697992,"3,1"
10.8 Torrefação e moagem de café,c,0 a 4,1018,2017,651,10679,"1,4"
10.8 Torrefação e moagem de café,c,5 a 9,313,2015,1397,21160,"1,5"
10.8 Torrefação e moagem de café,c,10 a 19,145,1933,1627,29228,"1,7"
10.8 Torrefação e moagem de café,c,20 a 29,39,931,840,17421,"1,9"
10.8 Torrefação e moagem de café,c,30 a 49,35,1342,1268,30369,"2,3"
10.8 Torrefação e moagem de café,c,50 a 99,21,1431,1379,35808,"2,5"
10.8 Torrefação e moagem de café,c,100 a 249,17,2628,2597,60016,"2,2"
10.8 Torrefação e moagem de café,c,250 a 499,5,1983,1976,90368,"4,3"
10.8 Torrefação e moagem de café,c,500 ou mais,7,10216,10188,402944,"3,9"
10.9 Fabricação de outros produtos alimentícios,c,Total,30964,431819,388400,10050093,"2,5"
10.9 Fabricação de outros produtos alimentícios,c,0 a 4,16119,33520,13791,230157,"1,3"
10.9 Fabricação de outros produtos alimentícios,c,5 a 9,7193,47572,36776,506804,"1,4"
10.9 Fabricação de outros produtos alimentícios,c,10 a 19,4432,59241,51662,763710,"1,4"
10.9 Fabricação de outros produtos alimentícios,c,20 a 29,1414,33872,31346,508166,"1,5"
10.9 Fabricação de outros produtos alimentícios,c,30 a 49,920,34581,33201,540133,"1,6"
10.9 Fabricação de outros produtos alimentícios,c,50 a 99,524,34919,34139,635715,"1,8"
10.9 Fabricação de outros produtos alimentícios,c,100 a 249,232,34779,34400,811397,"2,3"
10.9 Fabricação de outros produtos alimentícios,c,250 a 499,57,19334,19229,469930,"2,4"
10.9 Fabricação de outros produtos alimentícios,c,500 ou mais,73,134001,133856,5584081,"4,2"
11.1 Fabricação de bebidas alcoólicas,c,Total,2412,79837,75758,3085778,4
11.1 Fabricação de bebidas alcoólicas,c,0 a 4,1810,3287,656,12870,"1,8"
11.1 Fabricação de bebidas alcoólicas,c,5 a 9,285,1860,1183,20336,"1,7"
11.1 Fabricação de bebidas alcoólicas,c,10 a 19,144,1873,1454,30686,"1,9"
11.1 Fabricação de bebidas alcoólicas,c,20 a 29,45,1062,972,20042,2
11.1 Fabricação de bebidas alcoólicas,c,30 a 49,36,1328,1253,32926,"2,7"
11.1 Fabricação de bebidas alcoólicas,c,50 a 99,34,2390,2324,71199,"3,1"
11.1 Fabricação de bebidas alcoólicas,c,100 a 249,30,4518,4468,173313,"3,9"
11.1 Fabricação de bebidas alcoólicas,c,250 a 499,15,5257,5219,227941,"4,3"
11.1 Fabricação de bebidas alcoólicas,c,500 ou mais,13,58262,58229,2496465,"4,2"
11.2 Fabricação de bebidas não-alcoólicas,c,Total,1462,102215,99977,2795278,"2,8"
11.2 Fabricação de bebidas não-alcoólicas,c,0 a 4,563,1045,293,7312,"1,4"
11.2 Fabricação de bebidas não-alcoólicas,c,5 a 9,166,1149,867,13461,"1,5"
11.2 Fabricação de bebidas não-alcoólicas,c,10 a 19,260,3700,3226,46568,"1,5"
11.2 Fabricação de bebidas não-alcoólicas,c,20 a 29,139,3361,3124,50924,"1,6"
11.2 Fabricação de bebidas não-alcoólicas,c,30 a 49,124,4758,4570,81154,"1,7"
11.2 Fabricação de bebidas não-alcoólicas,c,50 a 99,108,7329,7162,138990,"1,9"
11.2 Fabricação de bebidas não-alcoólicas,c,100 a 249,58,8589,8500,233467,"2,7"
11.2 Fabricação de bebidas não-alcoólicas,c,250 a 499,18,6270,6255,156443,"2,4"
11.2 Fabricação de bebidas não-alcoólicas,c,500 ou mais,26,66014,65980,2066959,"3,1"
12.1 Processamento industrial do fumo,c,Total,39,5833,5784,289673,"2,5"
12.1 Processamento industrial do fumo,c,0 a 4,9,17,6,103,"1,4"
12.1 Processamento industrial do fumo,c,5 a 9,6,40,30,670,"2,5"
12.1 Processamento industrial do fumo,c,10 a 19,5,65,59,739,"1,4"
12.1 Processamento industrial do fumo,c,20 a 29,-,-,-,-,-
12.1 Processamento industrial do fumo,c,30 a 49,2,X,X,X,X
12.1 Processamento industrial do fumo,c,50 a 99,4,243,233,6077,"2,1"
12.1 Processamento industrial do fumo,c,100 a 249,6,798,789,57169,"2,7"
12.1 Processamento industrial do fumo,c,250 a 499,3,1093,1093,69083,"2,9"
12.1 Processamento industrial do fumo,c,500 ou mais,4,X,X,X,X
12.2 Fabricação de produtos do fumo,c,Total,186,12311,12086,704003,"5,1"
12.2 Fabricação de produtos do fumo,c,0 a 4,119,221,89,1511,"1,4"
12.2 Fabricação de produtos do fumo,c,5 a 9,25,155,127,1666,"1,3"
12.2 Fabricação de produtos do fumo,c,10 a 19,21,286,251,3777,"1,5"
12.2 Fabricação de produtos do fumo,c,20 a 29,8,184,175,3297,"1,8"
12.2 Fabricação de produtos do fumo,c,30 a 49,1,X,X,X,X
